,timestamp,value
61296,2009-07-01 00:30:00,8754.83
61297,2009-07-01 01:00:00,8555.44
61298,2009-07-01 01:30:00,8366.79
61299,2009-07-01 02:00:00,8104.85
61300,2009-07-01 02:30:00,7722.85
61301,2009-07-01 03:00:00,7333.9
61302,2009-07-01 03:30:00,7079.52
61303,2009-07-01 04:00:00,6945.85
61304,2009-07-01 04:30:00,6904.86
61305,2009-07-01 05:00:00,6941.82
61306,2009-07-01 05:30:00,7248.64
61307,2009-07-01 06:00:00,7687.7
61308,2009-07-01 06:30:00,8554.43
61309,2009-07-01 07:00:00,9407.54
61310,2009-07-01 07:30:00,9753.05
61311,2009-07-01 08:00:00,10194.31
61312,2009-07-01 08:30:00,10203.31
61313,2009-07-01 09:00:00,10001.41
61314,2009-07-01 09:30:00,10021.14
61315,2009-07-01 10:00:00,9991.93
61316,2009-07-01 10:30:00,9852.09
61317,2009-07-01 11:00:00,9725.24
61318,2009-07-01 11:30:00,9556.12
61319,2009-07-01 12:00:00,9436.56
61320,2009-07-01 12:30:00,9388.58
61321,2009-07-01 13:00:00,9307.59
61322,2009-07-01 13:30:00,9290.78
61323,2009-07-01 14:00:00,9133.29
61324,2009-07-01 14:30:00,9159.08
61325,2009-07-01 15:00:00,9098.53
61326,2009-07-01 15:30:00,9042.61
61327,2009-07-01 16:00:00,9127.92
61328,2009-07-01 16:30:00,9283.76
61329,2009-07-01 17:00:00,9591.28
61330,2009-07-01 17:30:00,10302.54
61331,2009-07-01 18:00:00,10951.81
61332,2009-07-01 18:30:00,10990.34
61333,2009-07-01 19:00:00,10853.84
61334,2009-07-01 19:30:00,10579.32
61335,2009-07-01 20:00:00,10433.63
61336,2009-07-01 20:30:00,10441.61
61337,2009-07-01 21:00:00,10252.88
61338,2009-07-01 21:30:00,9956.6
61339,2009-07-01 22:00:00,9546.5
61340,2009-07-01 22:30:00,9562.96
61341,2009-07-01 23:00:00,9326.51
61342,2009-07-01 23:30:00,9131.39
61343,2009-07-02 00:00:00,8958.15
61344,2009-07-02 00:30:00,8748.11
61345,2009-07-02 01:00:00,8563.24
61346,2009-07-02 01:30:00,8390.48
61347,2009-07-02 02:00:00,8148.81
61348,2009-07-02 02:30:00,7740.57
61349,2009-07-02 03:00:00,7406.26
61350,2009-07-02 03:30:00,7134.43
61351,2009-07-02 04:00:00,7000.31
61352,2009-07-02 04:30:00,6964.67
61353,2009-07-02 05:00:00,7022.28
61354,2009-07-02 05:30:00,7309.72
61355,2009-07-02 06:00:00,7760.6
61356,2009-07-02 06:30:00,8665.21
61357,2009-07-02 07:00:00,9514.15
61358,2009-07-02 07:30:00,10012.96
61359,2009-07-02 08:00:00,10567.46
61360,2009-07-02 08:30:00,10656.19
61361,2009-07-02 09:00:00,10406.41
61362,2009-07-02 09:30:00,10307.1
61363,2009-07-02 10:00:00,10246.78
61364,2009-07-02 10:30:00,10115.36
61365,2009-07-02 11:00:00,9767.34
61366,2009-07-02 11:30:00,9414.17
61367,2009-07-02 12:00:00,9610.46
61368,2009-07-02 12:30:00,9592.99
61369,2009-07-02 13:00:00,9508.54
61370,2009-07-02 13:30:00,9472.32
61371,2009-07-02 14:00:00,9380.93
61372,2009-07-02 14:30:00,9359.31
61373,2009-07-02 15:00:00,9335.85
61374,2009-07-02 15:30:00,9310.6
61375,2009-07-02 16:00:00,9438.25
61376,2009-07-02 16:30:00,9639.24
61377,2009-07-02 17:00:00,10096.63
61378,2009-07-02 17:30:00,10697.23
61379,2009-07-02 18:00:00,10981.19
61380,2009-07-02 18:30:00,10932.47
61381,2009-07-02 19:00:00,10897.61
61382,2009-07-02 19:30:00,11081.47
61383,2009-07-02 20:00:00,10858.99
61384,2009-07-02 20:30:00,10845.21
61385,2009-07-02 21:00:00,10732.99
